year_film,year_ceremony,ceremony,category,name,film,In movies dataset?,winner
1995,1996,68,ACTRESS IN A SUPPORTING ROLE,Kate Winslet,Sense and Sensibility,Sense and Sensibility,FALSE
1995,1996,68,ART DIRECTION,Art Direction:  Michael Corenblith;  Set Decoration:  Merideth Boswell,Apollo 13,Apollo 13,FALSE
1995,1996,68,ART DIRECTION,Art Direction:  Bo Welch;  Set Decoration:  Cheryl Carasik,A Little Princess,A Little Princess,FALSE
1995,1996,68,CINEMATOGRAPHY,John Toll,Braveheart,Braveheart,TRUE
1995,1996,68,CINEMATOGRAPHY,Emmanuel Lubezki,A Little Princess,A Little Princess,FALSE
1995,1996,68,CINEMATOGRAPHY,Michael Coulter,Sense and Sensibility,Sense and Sensibility,FALSE
1995,1996,68,COSTUME DESIGN,Charles Knode,Braveheart,Braveheart,FALSE
1995,1996,68,COSTUME DESIGN,"Jenny Beavan, John Bright",Sense and Sensibility,Sense and Sensibility,FALSE
1995,1996,68,DIRECTING,Mel Gibson,Braveheart,Braveheart,TRUE
1995,1996,68,FILM EDITING,"Mike Hill, Dan Hanley",Apollo 13,Apollo 13,TRUE
1995,1996,68,FILM EDITING,Steven Rosenblum,Braveheart,Braveheart,FALSE
1995,1996,68,MAKEUP,"Peter Frampton, Paul Pattison, Lois Burwell",Braveheart,Braveheart,TRUE
1995,1996,68,MUSIC (Original Dramatic Score),James Horner,Apollo 13,Apollo 13,FALSE
1995,1996,68,MUSIC (Original Dramatic Score),James Horner,Braveheart,Braveheart,FALSE
1995,1996,68,MUSIC (Original Dramatic Score),Patrick Doyle,Sense and Sensibility,Sense and Sensibility,FALSE
1995,1996,68,MUSIC (Original Musical or Comedy Score),John Williams,Sabrina,Sabrina,FALSE
1995,1996,68,MUSIC (Original Musical or Comedy Score),Randy Newman,Toy Story,Toy Story,FALSE
1995,1996,68,MUSIC (Original Song),Music by John Williams; Lyric by Alan Bergman and Marilyn Bergman,Sabrina,Sabrina,FALSE
1995,1996,68,MUSIC (Original Song),Music and Lyric by Randy Newman,Toy Story,Toy Story,FALSE
1995,1996,68,BEST PICTURE,"Brian Grazer, Producer",Apollo 13,Apollo 13,FALSE
1995,1996,68,BEST PICTURE,"Mel Gibson, Alan Ladd, Jr. and Bruce Davey, Producers",Braveheart,Braveheart,TRUE
1995,1996,68,BEST PICTURE,"Lindsay Doran, Producer",Sense and Sensibility,Sense and Sensibility,FALSE
1995,1996,68,SOUND,"Rick Dior, Steve Pederson, Scott Millan, David MacMillan",Apollo 13,Apollo 13,TRUE
1995,1996,68,SOUND,"Andy Nelson, Scott Millan, Anna Behlmer, Brian Simmons",Braveheart,Braveheart,FALSE
1995,1996,68,SOUND EFFECTS EDITING,"Lon Bender, Per Hallberg",Braveheart,Braveheart,TRUE
1995,1996,68,VISUAL EFFECTS,"Robert Legato, Michael Kanfer, Leslie Ekker, Matt Sweeney",Apollo 13,Apollo 13,FALSE
1995,1996,68,WRITING (Screenplay Based on Material Previously Produced or Published),"William Broyles, Jr., Al Reinert",Apollo 13,Apollo 13,FALSE
1995,1996,68,WRITING (Screenplay Based on Material Previously Produced or Published),Emma Thompson,Sense and Sensibility,Sense and Sensibility,TRUE
1995,1996,68,WRITING (Screenplay Written Directly for the Screen),Randall Wallace,Braveheart,Braveheart,FALSE
1995,1996,68,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Joss Whedon, Andrew Stanton, Joel Cohen, Alec Sokolow;  Story by John Lasseter, Peter Docter, Andrew Stanton, Joe Ranft",Toy Story,Toy Story,FALSE
1995,1996,68,WRITING (Screenplay Written Directly for the Screen),Christopher McQuarrie,The Usual Suspects,The Usual Suspects,TRUE
1996,1997,69,ACTOR IN A LEADING ROLE,Geoffrey Rush,Shine,Shine,TRUE
1996,1997,69,ACTOR IN A LEADING ROLE,Billy Bob Thornton,Sling Blade,Sling Blade,FALSE
1996,1997,69,ACTOR IN A SUPPORTING ROLE,William H. Macy,Fargo,Fargo,FALSE
1996,1997,69,ACTOR IN A SUPPORTING ROLE,Armin Mueller-Stahl,Shine,Shine,FALSE
1996,1997,69,ACTOR IN A SUPPORTING ROLE,Edward Norton,Primal Fear,Primal Fear,FALSE
1996,1997,69,ACTRESS IN A LEADING ROLE,Brenda Blethyn,Secrets & Lies,Secrets & Lies,FALSE
1996,1997,69,ACTRESS IN A LEADING ROLE,Frances McDormand,Fargo,Fargo,TRUE
1996,1997,69,ACTRESS IN A LEADING ROLE,Emily Watson,Breaking the Waves,Breaking the Waves,FALSE
1996,1997,69,ACTRESS IN A SUPPORTING ROLE,Marianne Jean-Baptiste,Secrets & Lies,Secrets & Lies,FALSE
1996,1997,69,ART DIRECTION,Tim Harvey,Hamlet,Hamlet,FALSE
1996,1997,69,CINEMATOGRAPHY,Roger Deakins,Fargo,Fargo,FALSE
1996,1997,69,COSTUME DESIGN,Alex Byrne,Hamlet,Hamlet,FALSE
1996,1997,69,DIRECTING,Joel Coen,Fargo,Fargo,FALSE
1996,1997,69,DIRECTING,Mike Leigh,Secrets & Lies,Secrets & Lies,FALSE
1996,1997,69,DIRECTING,Scott Hicks,Shine,Shine,FALSE
1996,1997,69,FILM EDITING,Roderick Jaynes,Fargo,Fargo,FALSE
1996,1997,69,FILM EDITING,Pip Karmel,Shine,Shine,FALSE
1996,1997,69,MUSIC (Original Dramatic Score),Patrick Doyle,Hamlet,Hamlet,FALSE
1996,1997,69,MUSIC (Original Dramatic Score),David Hirschfelder,Shine,Shine,FALSE
1996,1997,69,MUSIC (Original Dramatic Score),John Williams,Sleepers,Sleepers,FALSE
1996,1997,69,BEST PICTURE,"Ethan Coen, Producer",Fargo,Fargo,FALSE
1996,1997,69,BEST PICTURE,"Simon Channing-Williams, Producer",Secrets & Lies,Secrets & Lies,FALSE
1996,1997,69,BEST PICTURE,"Jane Scott, Producer",Shine,Shine,FALSE
1996,1997,69,WRITING (Screenplay Based on Material Previously Produced or Published),Kenneth Branagh,Hamlet,Hamlet,FALSE
1996,1997,69,WRITING (Screenplay Based on Material Previously Produced or Published),Billy Bob Thornton,Sling Blade,Sling Blade,TRUE
1996,1997,69,WRITING (Screenplay Based on Material Previously Produced or Published),John Hodge,Trainspotting,Trainspotting,FALSE
1996,1997,69,WRITING (Screenplay Written Directly for the Screen),"Ethan Coen, Joel Coen",Fargo,Fargo,TRUE
1996,1997,69,WRITING (Screenplay Written Directly for the Screen),Mike Leigh,Secrets & Lies,Secrets & Lies,FALSE
1996,1997,69,WRITING (Screenplay Written Directly for the Screen),Screenplay by Jan Sardi;  Story by Scott Hicks,Shine,Shine,FALSE
1997,1998,70,ACTOR IN A LEADING ROLE,Matt Damon,Good Will Hunting,Good Will Hunting,FALSE
1997,1998,70,ACTOR IN A LEADING ROLE,Jack Nicholson,As Good as It Gets,As Good as It Gets,TRUE
1997,1998,70,ACTOR IN A SUPPORTING ROLE,Greg Kinnear,As Good as It Gets,As Good as It Gets,FALSE
1997,1998,70,ACTOR IN A SUPPORTING ROLE,Burt Reynolds,Boogie Nights,Boogie Nights,FALSE
1997,1998,70,ACTOR IN A SUPPORTING ROLE,Robin Williams,Good Will Hunting,Good Will Hunting,TRUE
1997,1998,70,ACTRESS IN A LEADING ROLE,Helen Hunt,As Good as It Gets,As Good as It Gets,TRUE
1997,1998,70,ACTRESS IN A LEADING ROLE,Kate Winslet,Titanic,Titanic,FALSE
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Kim Basinger,L.A. Confidential,L.A. Confidential,TRUE
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Minnie Driver,Good Will Hunting,Good Will Hunting,FALSE
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Julianne Moore,Boogie Nights,Boogie Nights,FALSE
1997,1998,70,ACTRESS IN A SUPPORTING ROLE,Gloria Stuart,Titanic,Titanic,FALSE
1997,1998,70,ART DIRECTION,Art Direction:  Jan Roelfs;  Set Decoration:  Nancy Nye,Gattaca,Gattaca,FALSE
1997,1998,70,ART DIRECTION,Art Direction:  Jeannine Oppewall;  Set Decoration:  Jay R. Hart,L.A. Confidential,L.A. Confidential,FALSE
1997,1998,70,ART DIRECTION,Art Direction:  Peter Lamont;  Set Decoration:  Michael Ford,Titanic,Titanic,TRUE
1997,1998,70,CINEMATOGRAPHY,Dante Spinotti,L.A. Confidential,L.A. Confidential,FALSE
1997,1998,70,CINEMATOGRAPHY,Russell Carpenter,Titanic,Titanic,TRUE
1997,1998,70,COSTUME DESIGN,Deborah L. Scott,Titanic,Titanic,TRUE
1997,1998,70,DIRECTING,Gus Van Sant,Good Will Hunting,Good Will Hunting,FALSE
1997,1998,70,DIRECTING,Curtis Hanson,L.A. Confidential,L.A. Confidential,FALSE
1997,1998,70,DIRECTING,James Cameron,Titanic,Titanic,TRUE
1997,1998,70,FILM EDITING,Richard Marks,As Good as It Gets,As Good as It Gets,FALSE
1997,1998,70,FILM EDITING,Pietro Scalia,Good Will Hunting,Good Will Hunting,FALSE
1997,1998,70,FILM EDITING,Peter Honess,L.A. Confidential,L.A. Confidential,FALSE
1997,1998,70,FILM EDITING,"Conrad Buff, James Cameron, Richard A. Harris",Titanic,Titanic,TRUE
1997,1998,70,MAKEUP,"Tina Earnshaw, Greg Cannom, Simon Thompson",Titanic,Titanic,FALSE
1997,1998,70,MUSIC (Original Dramatic Score),Danny Elfman,Good Will Hunting,Good Will Hunting,FALSE
1997,1998,70,MUSIC (Original Dramatic Score),Jerry Goldsmith,L.A. Confidential,L.A. Confidential,FALSE
1997,1998,70,MUSIC (Original Dramatic Score),James Horner,Titanic,Titanic,TRUE
1997,1998,70,MUSIC (Original Musical or Comedy Score),Hans Zimmer,As Good as It Gets,As Good as It Gets,FALSE
1997,1998,70,MUSIC (Original Song),Music and Lyric by Elliott Smith,Good Will Hunting,Good Will Hunting,FALSE
1997,1998,70,MUSIC (Original Song),Music by James Horner; Lyric by Will Jennings,Titanic,Titanic,TRUE
1997,1998,70,BEST PICTURE,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers",As Good as It Gets,As Good as It Gets,FALSE
1997,1998,70,BEST PICTURE,"Lawrence Bender, Producer",Good Will Hunting,Good Will Hunting,FALSE
1997,1998,70,BEST PICTURE,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers",L.A. Confidential,L.A. Confidential,FALSE
1997,1998,70,BEST PICTURE,"James Cameron and Jon Landau, Producers",Titanic,Titanic,TRUE
1997,1998,70,SOUND,"Andy Nelson, Anna Behlmer, Kirk Francis",L.A. Confidential,L.A. Confidential,FALSE
1997,1998,70,SOUND,"Gary Rydstrom, Tom Johnson, Gary Summers, Mark Ulano",Titanic,Titanic,TRUE
1997,1998,70,SOUND EFFECTS EDITING,Mark Mangini,The Fifth Element,The Fifth Element,FALSE
1997,1998,70,SOUND EFFECTS EDITING,"Tom Bellfort, Christopher Boyes",Titanic,Titanic,TRUE
1997,1998,70,VISUAL EFFECTS,"Robert Legato, Mark Lasoff, Thomas L. Fisher, Michael Kanfer",Titanic,Titanic,TRUE
1997,1998,70,WRITING (Screenplay Based on Material Previously Produced or Published),Paul Attanasio,Donnie Brasco,Donnie Brasco,FALSE
1997,1998,70,WRITING (Screenplay Based on Material Previously Produced or Published),"Brian Helgeland, Curtis Hanson",L.A. Confidential,L.A. Confidential,TRUE
1997,1998,70,WRITING (Screenplay Written Directly for the Screen),"Screenplay by Mark Andrus, James L. Brooks;  Story by Mark Andrus",As Good as It Gets,As Good as It Gets,FALSE
1997,1998,70,WRITING (Screenplay Written Directly for the Screen),Paul Thomas Anderson,Boogie Nights,Boogie Nights,FALSE
1997,1998,70,WRITING (Screenplay Written Directly for the Screen),"Ben Affleck, Matt Damon",Good Will Hunting,Good Will Hunting,TRUE
1998,1999,71,ACTOR IN A LEADING ROLE,Tom Hanks,Saving Private Ryan,Saving Private Ryan,FALSE
1998,1999,71,ACTOR IN A LEADING ROLE,Edward Norton,American History X,American History X,FALSE
1998,1999,71,ACTOR IN A SUPPORTING ROLE,Ed Harris,The Truman Show,The Truman Show,FALSE
1998,1999,71,ART DIRECTION,Art Direction:  Tom Sanders;  Set Decoration:  Lisa Dean Kavanaugh,Saving Private Ryan,Saving Private Ryan,FALSE
1998,1999,71,CINEMATOGRAPHY,Janusz Kaminski,Saving Private Ryan,Saving Private Ryan,TRUE
1998,1999,71,CINEMATOGRAPHY,John Toll,The Thin Red Line,The Thin Red Line,FALSE
1998,1999,71,DIRECTING,Steven Spielberg,Saving Private Ryan,Saving Private Ryan,TRUE
1998,1999,71,DIRECTING,Terrence Malick,The Thin Red Line,The Thin Red Line,FALSE
1998,1999,71,DIRECTING,Peter Weir,The Truman Show,The Truman Show,FALSE
1998,1999,71,FILM EDITING,Michael Kahn,Saving Private Ryan,Saving Private Ryan,TRUE
1998,1999,71,FILM EDITING,"Billy Weber, Leslie Jones, Saar Klein",The Thin Red Line,The Thin Red Line,FALSE
1998,1999,71,MAKEUP,"Lois Burwell, Conor O'Sullivan, Daniel C. Striepeke",Saving Private Ryan,Saving Private Ryan,FALSE
1998,1999,71,MUSIC (Original Dramatic Score),John Williams,Saving Private Ryan,Saving Private Ryan,FALSE
1998,1999,71,MUSIC (Original Dramatic Score),Hans Zimmer,The Thin Red Line,The Thin Red Line,FALSE
1998,1999,71,MUSIC (Original Musical or Comedy Score),Music by Matthew Wilder; Lyrics by David Zippel; Orchestral Score by Jerry Goldsmith,Mulan,Mulan,FALSE
1998,1999,71,BEST PICTURE,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers",Saving Private Ryan,Saving Private Ryan,FALSE
1998,1999,71,BEST PICTURE,"Robert Michael Geisler, John Roberdeau and Grant Hill, Producers",The Thin Red Line,The Thin Red Line,FALSE
1998,1999,71,SOUND,"Gary Rydstrom, Gary Summers, Andy Nelson, Ronald Judkins",Saving Private Ryan,Saving Private Ryan,TRUE
1998,1999,71,SOUND,"Andy Nelson, Anna Behlmer, Paul Brincat",The Thin Red Line,The Thin Red Line,FALSE
1998,1999,71,SOUND EFFECTS EDITING,"Gary Rydstrom, Richard Hymns",Saving Private Ryan,Saving Private Ryan,TRUE
1998,1999,71,WRITING (Screenplay Based on Material Previously Produced or Published),Terrence Malick,The Thin Red Line,The Thin Red Line,FALSE
1998,1999,71,WRITING (Screenplay Written Directly for the Screen),Robert Rodat,Saving Private Ryan,Saving Private Ryan,FALSE
1998,1999,71,WRITING (Screenplay Written Directly for the Screen),Andrew Niccol,The Truman Show,The Truman Show,FALSE
1999,2000,72,ACTOR IN A LEADING ROLE,Russell Crowe,The Insider,The Insider,FALSE
1999,2000,72,ACTOR IN A LEADING ROLE,Richard Farnsworth,The Straight Story,The Straight Story,FALSE
1999,2000,72,ACTOR IN A LEADING ROLE,Kevin Spacey,American Beauty,American Beauty,TRUE
1999,2000,72,ACTOR IN A LEADING ROLE,Denzel Washington,The Hurricane,The Hurricane,FALSE
1999,2000,72,ACTOR IN A SUPPORTING ROLE,Tom Cruise,Magnolia,Magnolia,FALSE
1999,2000,72,ACTOR IN A SUPPORTING ROLE,Michael Clarke Duncan,The Green Mile,The Green Mile,FALSE
1999,2000,72,ACTOR IN A SUPPORTING ROLE,Haley Joel Osment,The Sixth Sense,The Sixth Sense,FALSE
1999,2000,72,ACTRESS IN A LEADING ROLE,Annette Bening,American Beauty,American Beauty,FALSE
1999,2000,72,ACTRESS IN A SUPPORTING ROLE,Toni Collette,The Sixth Sense,The Sixth Sense,FALSE
1999,2000,72,ACTRESS IN A SUPPORTING ROLE,Catherine Keener,Being John Malkovich,Being John Malkovich,FALSE
1999,2000,72,CINEMATOGRAPHY,Conrad L. Hall,American Beauty,American Beauty,TRUE
1999,2000,72,CINEMATOGRAPHY,Dante Spinotti,The Insider,The Insider,FALSE
1999,2000,72,DIRECTING,Sam Mendes,American Beauty,American Beauty,TRUE
1999,2000,72,DIRECTING,Spike Jonze,Being John Malkovich,Being John Malkovich,FALSE
1999,2000,72,DIRECTING,Michael Mann,The Insider,The Insider,FALSE
1999,2000,72,DIRECTING,M. Night Shyamalan,The Sixth Sense,The Sixth Sense,FALSE
1999,2000,72,FILM EDITING,"Tariq Anwar, Christopher Greenbury",American Beauty,American Beauty,FALSE
1999,2000,72,FILM EDITING,"William Goldenberg, Paul Rubell, David Rosenbloom",The Insider,The Insider,FALSE
1999,2000,72,FILM EDITING,Zach Staenberg,The Matrix,The Matrix,TRUE
1999,2000,72,FILM EDITING,Andrew Mondshein,The Sixth Sense,The Sixth Sense,FALSE
1999,2000,72,MUSIC (Original Score),Thomas Newman,American Beauty,American Beauty,FALSE
1999,2000,72,MUSIC (Original Song),Music and Lyric by Trey Parker and Marc Shaiman,"South Park: Bigger, Longer & Uncut","South Park: Bigger, Longer & Uncut",FALSE
1999,2000,72,MUSIC (Original Song),Music and Lyric by Aimee Mann,Magnolia,Magnolia,FALSE
1999,2000,72,MUSIC (Original Song),Music and Lyric by Randy Newman,Toy Story 2,Toy Story 2,FALSE
1999,2000,72,BEST PICTURE,"Bruce Cohen and Dan Jinks, Producers",American Beauty,American Beauty,TRUE
1999,2000,72,BEST PICTURE,"David Valdes and Frank Darabont, Producers",The Green Mile,The Green Mile,FALSE
1999,2000,72,BEST PICTURE,"Michael Mann and Pieter Jan Brugge, Producers",The Insider,The Insider,FALSE
1999,2000,72,BEST PICTURE,"Frank Marshall, Kathleen Kennedy and Barry Mendel, Producers",The Sixth Sense,The Sixth Sense,FALSE
1999,2000,72,SOUND,"Robert J. Litt, Elliot Tyson, Michael Herbick, Willie D. Burton",The Green Mile,The Green Mile,FALSE
1999,2000,72,SOUND,"Andy Nelson, Doug Hemphill, Lee Orloff",The Insider,The Insider,FALSE
1999,2000,72,SOUND,"John Reitz, Gregg Rudloff, David Campbell, David Lee",The Matrix,The Matrix,TRUE
1999,2000,72,SOUND EFFECTS EDITING,"Ren Klyce, Richard Hymns",Fight Club,Fight Club,FALSE
1999,2000,72,SOUND EFFECTS EDITING,Dane A. Davis,The Matrix,The Matrix,TRUE
1999,2000,72,VISUAL EFFECTS,"John Gaeta, Janek Sirrs, Steve Courtley, Jon Thum",The Matrix,The Matrix,TRUE
1999,2000,72,WRITING (Screenplay Based on Material Previously Produced or Published),Frank Darabont,The Green Mile,The Green Mile,FALSE
1999,2000,72,WRITING (Screenplay Based on Material Previously Produced or Published),"Eric Roth, Michael Mann",The Insider,The Insider,FALSE
1999,2000,72,WRITING (Screenplay Written Directly for the Screen),Alan Ball,American Beauty,American Beauty,TRUE
1999,2000,72,WRITING (Screenplay Written Directly for the Screen),Charlie Kaufman,Being John Malkovich,Being John Malkovich,FALSE
1999,2000,72,WRITING (Screenplay Written Directly for the Screen),Paul Thomas Anderson,Magnolia,Magnolia,FALSE
1999,2000,72,WRITING (Screenplay Written Directly for the Screen),M. Night Shyamalan,The Sixth Sense,The Sixth Sense,FALSE
2000,2001,73,ACTOR IN A LEADING ROLE,Russell Crowe,Gladiator,Gladiator,TRUE
2000,2001,73,ACTOR IN A LEADING ROLE,Tom Hanks,Cast Away,Cast Away,FALSE
2000,2001,73,ACTOR IN A SUPPORTING ROLE,Joaquin Phoenix,Gladiator,Gladiator,FALSE
2000,2001,73,ACTRESS IN A LEADING ROLE,Ellen Burstyn,Requiem for a Dream,Requiem for a Dream,FALSE
2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Kate Hudson,Almost Famous,Almost Famous,FALSE
2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Frances McDormand,Almost Famous,Almost Famous,FALSE
2000,2001,73,ACTRESS IN A SUPPORTING ROLE,Julie Walters,Billy Elliot,Billy Elliot,FALSE
2000,2001,73,ART DIRECTION,Art Direction:  Arthur Max;  Set Decoration:  Crispian Sallis,Gladiator,Gladiator,FALSE
2000,2001,73,CINEMATOGRAPHY,John Mathieson,Gladiator,Gladiator,FALSE
2000,2001,73,CINEMATOGRAPHY,Roger Deakins,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",FALSE
2000,2001,73,COSTUME DESIGN,Janty Yates,Gladiator,Gladiator,TRUE
2000,2001,73,DIRECTING,Stephen Daldry,Billy Elliot,Billy Elliot,FALSE
2000,2001,73,DIRECTING,Ridley Scott,Gladiator,Gladiator,FALSE
2000,2001,73,FILM EDITING,"Joe Hutshing, Saar Klein",Almost Famous,Almost Famous,FALSE
2000,2001,73,FILM EDITING,Pietro Scalia,Gladiator,Gladiator,FALSE
2000,2001,73,FOREIGN LANGUAGE FILM,Mexico,Amores Perros,Amores perros,FALSE
2000,2001,73,MUSIC (Original Score),Hans Zimmer,Gladiator,Gladiator,FALSE
2000,2001,73,MUSIC (Original Song),Music by Bj̦rk; Lyric by Lars von Trier and Sjon Sigurdsson,Dancer in the Dark,Dancer in the Dark,FALSE
2000,2001,73,BEST PICTURE,"Douglas Wick, David Franzoni and Branko Lustig, Producers",Gladiator,Gladiator,TRUE
2000,2001,73,SOUND,"Randy Thom, Tom Johnson, Dennis Sands, William B. Kaplan",Cast Away,Cast Away,FALSE
2000,2001,73,SOUND,"Scott Millan, Bob Beemer, Ken Weston",Gladiator,Gladiator,TRUE
2000,2001,73,VISUAL EFFECTS,"John Nelson, Neil Corbould, Tim Burke, Rob Harvey",Gladiator,Gladiator,TRUE
2000,2001,73,WRITING (Screenplay Based on Material Previously Produced or Published),Written by Ethan Coen & Joel Coen,"O Brother, Where Art Thou?","O Brother, Where Art Thou?",FALSE
2000,2001,73,WRITING (Screenplay Written Directly for the Screen),Written by Cameron Crowe,Almost Famous,Almost Famous,TRUE
2000,2001,73,WRITING (Screenplay Written Directly for the Screen),Written by Lee Hall,Billy Elliot,Billy Elliot,FALSE
2000,2001,73,WRITING (Screenplay Written Directly for the Screen),Screenplay by David Franzoni and John Logan and William Nicholson;  Story by David Franzoni,Gladiator,Gladiator,FALSE
2001,2002,74,ACTOR IN A LEADING ROLE,Russell Crowe,A Beautiful Mind,A Beautiful Mind,FALSE
2001,2002,74,ACTOR IN A LEADING ROLE,Sean Penn,I Am Sam,I Am Sam,FALSE
2001,2002,74,ACTOR IN A LEADING ROLE,Denzel Washington,Training Day,Training Day,TRUE
2001,2002,74,ACTOR IN A SUPPORTING ROLE,Ethan Hawke,Training Day,Training Day,FALSE
2001,2002,74,ACTOR IN A SUPPORTING ROLE,Ian McKellen,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,FALSE
2001,2002,74,ACTRESS IN A SUPPORTING ROLE,Jennifer Connelly,A Beautiful Mind,A Beautiful Mind,TRUE
2001,2002,74,ANIMATED FEATURE FILM,"Pete Docter, John Lasseter","Monsters, Inc.","Monsters, Inc.",FALSE
2001,2002,74,ANIMATED FEATURE FILM,Aron Warner,Shrek,Shrek,TRUE
2001,2002,74,ART DIRECTION,Art Direction:  Aline Bonetto; Set Decoration:  Marie-Laure Valla,Am̩lie,Am̩lie,FALSE
2001,2002,74,ART DIRECTION,Art Direction:  Stuart Craig; Set Decoration:  Stephenie McMillan,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,FALSE
2001,2002,74,ART DIRECTION,Art Direction:  Grant Major; Set Decoration:  Dan Hennah,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,FALSE
2001,2002,74,CINEMATOGRAPHY,Bruno Delbonnel,Am̩lie,Am̩lie,FALSE
2001,2002,74,CINEMATOGRAPHY,Slawomir Idziak,Black Hawk Down,Black Hawk Down,FALSE
2001,2002,74,CINEMATOGRAPHY,Andrew Lesnie,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,TRUE
2001,2002,74,COSTUME DESIGN,Judianna Makovsky,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,FALSE
2001,2002,74,COSTUME DESIGN,"Ngila Dickson, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,FALSE
2001,2002,74,DIRECTING,Ron Howard,A Beautiful Mind,A Beautiful Mind,TRUE
2001,2002,74,DIRECTING,Ridley Scott,Black Hawk Down,Black Hawk Down,FALSE
2001,2002,74,DIRECTING,Peter Jackson,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,FALSE
2001,2002,74,FILM EDITING,"Mike Hill, Dan Hanley",A Beautiful Mind,A Beautiful Mind,FALSE
2001,2002,74,FILM EDITING,Pietro Scalia,Black Hawk Down,Black Hawk Down,TRUE
2001,2002,74,FILM EDITING,John Gilbert,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,FALSE
2001,2002,74,FILM EDITING,Dody Dorn,Memento,Memento,FALSE
2001,2002,74,FOREIGN LANGUAGE FILM,France,Am̩lie,Am̩lie,FALSE
2001,2002,74,FOREIGN LANGUAGE FILM,Bosnia & Herzegovina,No Man's Land,No Man's Land,TRUE
2001,2002,74,MAKEUP,"Greg Cannom, Colleen Callaghan",A Beautiful Mind,A Beautiful Mind,FALSE
2001,2002,74,MAKEUP,"Peter Owen, Richard Taylor",The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,TRUE
2001,2002,74,MUSIC (Original Score),James Horner,A Beautiful Mind,A Beautiful Mind,FALSE
2001,2002,74,MUSIC (Original Score),John Williams,Harry Potter and the Sorcerer's Stone,Harry Potter and the Sorcerer's Stone,FALSE
2001,2002,74,MUSIC (Original Score),Howard Shore,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,TRUE
2001,2002,74,MUSIC (Original Score),Randy Newman,"Monsters, Inc.","Monsters, Inc.",FALSE
2001,2002,74,MUSIC (Original Song),Music and Lyric by Randy Newman,"Monsters, Inc.","Monsters, Inc.",TRUE
2001,2002,74,MUSIC (Original Song),"Music and Lyric by Enya, Nicky Ryan and Roma Ryan",The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,FALSE
2001,2002,74,BEST PICTURE,"Brian Grazer and Ron Howard, Producers",A Beautiful Mind,A Beautiful Mind,TRUE
2001,2002,74,BEST PICTURE,"Peter Jackson, Fran Walsh and Barrie M. Osborne, Producers",The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,FALSE
2001,2002,74,SOUND,"Vincent Arnardi, Guillaume Leriche, Jean Umansky",Am̩lie,Am̩lie,FALSE
2001,2002,74,SOUND,"Michael Minkler, Myron Nettinga, Chris Munro",Black Hawk Down,Black Hawk Down,TRUE
2001,2002,74,SOUND,"Christopher Boyes, Michael Semanick, Gethin Creagh, Hammond Peek",The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,FALSE
2001,2002,74,SOUND EDITING,"Gary Rydstrom, Michael Silvers","Monsters, Inc.","Monsters, Inc.",FALSE
2001,2002,74,VISUAL EFFECTS,"Jim Rygiel, Randall William Cook, Richard Taylor, Mark Stetson",The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,TRUE
2001,2002,74,WRITING (Screenplay Based on Material Previously Produced or Published),Written by Akiva Goldsman,A Beautiful Mind,A Beautiful Mind,TRUE
2001,2002,74,WRITING (Screenplay Based on Material Previously Produced or Published),"Screenplay by Fran Walsh, Philippa Boyens, Peter Jackson",The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,FALSE
2001,2002,74,WRITING (Screenplay Based on Material Previously Produced or Published),Written by Ted Elliott & Terry Rossio and Joe Stillman and Roger S.H. Schulman,Shrek,Shrek,FALSE
